2018.07.31 22:06:03.001 MSK INFO: *** SYSTEM START *** -- SystemUtilities.logSystemInfo()
2018.07.31 22:06:21.661 MSK INFO: Loaded 89000 instances: RasterToVector_Class208169 -- Parser.getInstance()
2018.07.31 22:06:21.702 MSK INFO: Loaded 90000 instances: RasterToVector_Class209078 -- Parser.getInstance()
2018.07.31 22:06:21.742 MSK INFO: Loaded 91000 instances: RasterToVector_Class209987 -- Parser.getInstance()
2018.07.31 22:06:21.781 MSK INFO: Loaded 92000 instances: RasterToVector_Class210896 -- Parser.getInstance()
2018.07.31 22:06:21.821 MSK INFO: Loaded 93000 instances: RasterToVector_Class211805 -- Parser.getInstance()
2018.07.31 22:06:21.862 MSK INFO: Loaded 94000 instances: RasterToVector_Class212714 -- Parser.getInstance()
2018.07.31 22:06:21.903 MSK INFO: Loaded 95000 instances: RasterToVector_Class213623 -- Parser.getInstance()
2018.07.31 22:06:21.947 MSK INFO: Loaded 96000 instances: RasterToVector_Class214532 -- Parser.getInstance()
2018.07.31 22:06:21.985 MSK INFO: Loaded 97000 instances: RasterToVector_Class215441 -- Parser.getInstance()
2018.07.31 22:06:24.032 MSK INFO: Loaded 98000 instances: RasterToVector_Class216351 -- Parser.getInstance()
2018.07.31 22:06:24.109 MSK INFO: Loaded 99000 instances: RasterToVector_Class217260 -- Parser.getInstance()
2018.07.31 22:06:24.147 MSK INFO: Loaded 100000 instances: RasterToVector_Class21817 -- Parser.getInstance()
2018.07.31 22:06:24.189 MSK INFO: Loaded 101000 instances: RasterToVector_Class219079 -- Parser.getInstance()
2018.07.31 22:06:24.232 MSK INFO: Loaded 102000 instances: RasterToVector_Class219988 -- Parser.getInstance()
2018.07.31 22:06:24.272 MSK INFO: Loaded 103000 instances: RasterToVector_Class220897 -- Parser.getInstance()
2018.07.31 22:06:24.313 MSK INFO: Loaded 104000 instances: RasterToVector_Class221806 -- Parser.getInstance()
2018.07.31 22:06:24.356 MSK INFO: Loaded 105000 instances: RasterToVector_Class222715 -- Parser.getInstance()
2018.07.31 22:06:24.396 MSK INFO: Loaded 106000 instances: RasterToVector_Class223624 -- Parser.getInstance()
2018.07.31 22:06:24.437 MSK INFO: Loaded 107000 instances: RasterToVector_Class224533 -- Parser.getInstance()
2018.07.31 22:06:24.479 MSK INFO: Loaded 108000 instances: RasterToVector_Class225442 -- Parser.getInstance()
2018.07.31 22:06:24.520 MSK INFO: Loaded 109000 instances: RasterToVector_Class226351 -- Parser.getInstance()
2018.07.31 22:06:24.559 MSK INFO: Loaded 110000 instances: RasterToVector_Class227260 -- Parser.getInstance()
2018.07.31 22:06:24.598 MSK INFO: Loaded 111000 instances: RasterToVector_Class22817 -- Parser.getInstance()
2018.07.31 22:06:24.640 MSK INFO: Loaded 112000 instances: RasterToVector_Class229079 -- Parser.getInstance()
2018.07.31 22:06:24.680 MSK INFO: Loaded 113000 instances: RasterToVector_Class229988 -- Parser.getInstance()
2018.07.31 22:06:24.721 MSK INFO: Loaded 114000 instances: RasterToVector_Class230897 -- Parser.getInstance()
2018.07.31 22:06:25.014 MSK INFO: Loaded 115000 instances: RasterToVector_Class231806 -- Parser.getInstance()
2018.07.31 22:06:25.056 MSK INFO: Loaded 116000 instances: RasterToVector_Class232773 -- Parser.getInstance()
2018.07.31 22:06:25.096 MSK INFO: Loaded 117000 instances: RasterToVector_Class233773 -- Parser.getInstance()
2018.07.31 22:06:25.136 MSK INFO: Loaded 118000 instances: RasterToVector_Class234773 -- Parser.getInstance()
2018.07.31 22:06:25.178 MSK INFO: Loaded 119000 instances: RasterToVector_Class235773 -- Parser.getInstance()
2018.07.31 22:06:25.218 MSK INFO: Loaded 120000 instances: RasterToVector_Class236773 -- Parser.getInstance()
2018.07.31 22:06:25.259 MSK INFO: Loaded 121000 instances: RasterToVector_Class237773 -- Parser.getInstance()
2018.07.31 22:06:25.297 MSK INFO: Loaded 122000 instances: RasterToVector_Class238773 -- Parser.getInstance()
2018.07.31 22:06:25.341 MSK INFO: Loaded 123000 instances: RasterToVector_Class239773 -- Parser.getInstance()
2018.07.31 22:06:25.382 MSK INFO: Loaded 124000 instances: RasterToVector_Class240773 -- Parser.getInstance()
2018.07.31 22:06:25.423 MSK INFO: Loaded 125000 instances: RasterToVector_Class241773 -- Parser.getInstance()
2018.07.31 22:06:25.469 MSK INFO: Loaded 126000 instances: RasterToVector_Class242773 -- Parser.getInstance()
2018.07.31 22:06:25.530 MSK INFO: Loaded 127000 instances: RasterToVector_Class243773 -- Parser.getInstance()
2018.07.31 22:06:25.569 MSK INFO: Loaded 128000 instances: RasterToVector_Class244773 -- Parser.getInstance()
2018.07.31 22:06:25.609 MSK INFO: Loaded 129000 instances: RasterToVector_Class245773 -- Parser.getInstance()
2018.07.31 22:06:25.652 MSK INFO: Loaded 130000 instances: RasterToVector_Class246773 -- Parser.getInstance()
2018.07.31 22:06:25.692 MSK INFO: Loaded 131000 instances: RasterToVector_Class247773 -- Parser.getInstance()
2018.07.31 22:06:25.733 MSK INFO: Loaded 132000 instances: RasterToVector_Class248773 -- Parser.getInstance()
2018.07.31 22:06:26.219 MSK INFO: Loaded 133000 instances: RasterToVector_Class249773 -- Parser.getInstance()
2018.07.31 22:06:26.259 MSK INFO: Loaded 134000 instances: RasterToVector_Class250773 -- Parser.getInstance()
2018.07.31 22:06:26.300 MSK INFO: Loaded 135000 instances: RasterToVector_Class251773 -- Parser.getInstance()
2018.07.31 22:06:26.341 MSK INFO: Loaded 136000 instances: RasterToVector_Class252773 -- Parser.getInstance()
2018.07.31 22:06:26.384 MSK INFO: Loaded 137000 instances: RasterToVector_Class253773 -- Parser.getInstance()
2018.07.31 22:06:26.428 MSK INFO: Loaded 138000 instances: RasterToVector_Class254773 -- Parser.getInstance()
2018.07.31 22:06:26.470 MSK INFO: Loaded 139000 instances: RasterToVector_Class255773 -- Parser.getInstance()
2018.07.31 22:06:26.514 MSK INFO: Loaded 140000 instances: RasterToVector_Class256773 -- Parser.getInstance()
2018.07.31 22:06:26.555 MSK INFO: Loaded 141000 instances: RasterToVector_Class257773 -- Parser.getInstance()
2018.07.31 22:06:26.597 MSK INFO: Loaded 142000 instances: RasterToVector_Class258773 -- Parser.getInstance()
2018.07.31 22:06:26.639 MSK INFO: Loaded 143000 instances: RasterToVector_Class259773 -- Parser.getInstance()
2018.07.31 22:06:26.733 MSK INFO: Loaded 144000 instances: RasterToVector_Class260773 -- Parser.getInstance()
2018.07.31 22:06:26.772 MSK INFO: Loaded 145000 instances: RasterToVector_Class261773 -- Parser.getInstance()
2018.07.31 22:06:26.813 MSK INFO: Loaded 146000 instances: RasterToVector_Class262773 -- Parser.getInstance()
2018.07.31 22:06:26.854 MSK INFO: Loaded 147000 instances: RasterToVector_Class263773 -- Parser.getInstance()
2018.07.31 22:06:26.896 MSK INFO: Loaded 148000 instances: RasterToVector_Class264773 -- Parser.getInstance()
2018.07.31 22:06:26.938 MSK INFO: Loaded 149000 instances: RasterToVector_Class265773 -- Parser.getInstance()
2018.07.31 22:06:29.774 MSK INFO: Loaded 150000 instances: RasterToVector_Class266773 -- Parser.getInstance()
2018.07.31 22:06:29.818 MSK INFO: Loaded 151000 instances: RasterToVector_Class267773 -- Parser.getInstance()
2018.07.31 22:06:29.859 MSK INFO: Loaded 152000 instances: RasterToVector_Class268773 -- Parser.getInstance()
2018.07.31 22:06:29.900 MSK INFO: Loaded 153000 instances: RasterToVector_Class269773 -- Parser.getInstance()
2018.07.31 22:06:29.940 MSK INFO: Loaded 154000 instances: RasterToVector_Class270773 -- Parser.getInstance()
2018.07.31 22:06:29.983 MSK INFO: Loaded 155000 instances: RasterToVector_Class271773 -- Parser.getInstance()
2018.07.31 22:06:30.025 MSK INFO: Loaded 156000 instances: RasterToVector_Class272773 -- Parser.getInstance()
2018.07.31 22:06:30.067 MSK INFO: Loaded 157000 instances: RasterToVector_Class273773 -- Parser.getInstance()
2018.07.31 22:06:30.110 MSK INFO: Loaded 158000 instances: RasterToVector_Class274773 -- Parser.getInstance()
2018.07.31 22:06:30.154 MSK INFO: Loaded 159000 instances: RasterToVector_Class275773 -- Parser.getInstance()
2018.07.31 22:06:30.196 MSK INFO: Loaded 160000 instances: RasterToVector_Class276773 -- Parser.getInstance()
2018.07.31 22:06:30.238 MSK INFO: Loaded 161000 instances: RasterToVector_Class277773 -- Parser.getInstance()
2018.07.31 22:06:30.282 MSK INFO: Loaded 162000 instances: RasterToVector_Class278773 -- Parser.getInstance()
2018.07.31 22:06:30.324 MSK INFO: Loaded 163000 instances: RasterToVector_Class279773 -- Parser.getInstance()
2018.07.31 22:06:30.366 MSK INFO: Loaded 164000 instances: RasterToVector_Class280773 -- Parser.getInstance()
2018.07.31 22:06:30.410 MSK INFO: Loaded 165000 instances: RasterToVector_Class281773 -- Parser.getInstance()
2018.07.31 22:06:30.453 MSK INFO: Loaded 166000 instances: RasterToVector_Class282773 -- Parser.getInstance()
2018.07.31 22:06:30.495 MSK INFO: Loaded 167000 instances: RasterToVector_Class283773 -- Parser.getInstance()
2018.07.31 22:06:30.907 MSK INFO: Loaded 168000 instances: RasterToVector_Class284773 -- Parser.getInstance()
2018.07.31 22:06:30.948 MSK INFO: Loaded 169000 instances: RasterToVector_Class285773 -- Parser.getInstance()
2018.07.31 22:06:30.991 MSK INFO: Loaded 170000 instances: RasterToVector_Class286773 -- Parser.getInstance()
2018.07.31 22:06:31.033 MSK INFO: Loaded 171000 instances: RasterToVector_Class287773 -- Parser.getInstance()
2018.07.31 22:06:31.077 MSK INFO: Loaded 172000 instances: RasterToVector_Class288773 -- Parser.getInstance()
2018.07.31 22:06:31.120 MSK INFO: Loaded 173000 instances: RasterToVector_Class289773 -- Parser.getInstance()
2018.07.31 22:06:31.164 MSK INFO: Loaded 174000 instances: RasterToVector_Class290773 -- Parser.getInstance()
2018.07.31 22:06:31.207 MSK INFO: Loaded 175000 instances: RasterToVector_Class291773 -- Parser.getInstance()
2018.07.31 22:06:31.251 MSK INFO: Loaded 176000 instances: RasterToVector_Class292773 -- Parser.getInstance()
2018.07.31 22:06:31.294 MSK INFO: Loaded 177000 instances: RasterToVector_Class293773 -- Parser.getInstance()
2018.07.31 22:06:31.337 MSK INFO: Loaded 178000 instances: RasterToVector_Class294773 -- Parser.getInstance()
2018.07.31 22:06:31.380 MSK INFO: Loaded 179000 instances: RasterToVector_Class295773 -- Parser.getInstance()
2018.07.31 22:06:31.429 MSK INFO: Loaded 180000 instances: RasterToVector_Class296773 -- Parser.getInstance()
2018.07.31 22:06:31.472 MSK INFO: Loaded 181000 instances: RasterToVector_Class297773 -- Parser.getInstance()
2018.07.31 22:06:31.515 MSK INFO: Loaded 182000 instances: RasterToVector_Class298773 -- Parser.getInstance()
2018.07.31 22:06:31.559 MSK INFO: Loaded 183000 instances: RasterToVector_Class299773 -- Parser.getInstance()
2018.07.31 22:06:31.603 MSK INFO: Loaded 184000 instances: RasterToVector_Class300768 -- Parser.getInstance()
2018.07.31 22:06:31.646 MSK INFO: Loaded 185000 instances: RasterToVector_Class301768 -- Parser.getInstance()
2018.07.31 22:06:35.070 MSK INFO: Loaded 186000 instances: RasterToVector_Class302768 -- Parser.getInstance()
2018.07.31 22:06:35.151 MSK INFO: Loaded 187000 instances: RasterToVector_Class303768 -- Parser.getInstance()
2018.07.31 22:06:35.195 MSK INFO: Loaded 188000 instances: RasterToVector_Class304768 -- Parser.getInstance()
2018.07.31 22:06:35.239 MSK INFO: Loaded 189000 instances: RasterToVector_Class305768 -- Parser.getInstance()
2018.07.31 22:06:35.289 MSK INFO: Loaded 190000 instances: RasterToVector_Class306768 -- Parser.getInstance()
2018.07.31 22:06:35.337 MSK INFO: Loaded 191000 instances: RasterToVector_Class307768 -- Parser.getInstance()
2018.07.31 22:06:35.382 MSK INFO: Loaded 192000 instances: RasterToVector_Class308768 -- Parser.getInstance()
2018.07.31 22:06:35.439 MSK INFO: Loaded 193000 instances: RasterToVector_Class309768 -- Parser.getInstance()
2018.07.31 22:06:35.486 MSK INFO: Loaded 194000 instances: RasterToVector_Class310768 -- Parser.getInstance()
2018.07.31 22:06:35.533 MSK INFO: Loaded 195000 instances: RasterToVector_Class311768 -- Parser.getInstance()
2018.07.31 22:06:35.627 MSK WARNING: missing bundle: standard_extensions_text -- BundleHelper.<init>()
2018.07.31 22:06:35.627 MSK WARNING: no resource bundle: tab.queries -- BundleHelper.internalGetText()
2018.07.31 22:06:39.221 MSK INFO: Load time for file:/Users/ru/clojure/simpro-scene/pprj_examples/RasterToVector.pprj = 24 sec (project) + 3 sec (ui) -- ProjectManager$3.run()
2018.07.31 22:17:46.556 MSK WARNING: has been deleted: igis_Class30001 -- InstanceStorer.isStorableInstance()
